input,target,prediction,target_length,levenshtein
NC(=N)C#N,NC(=N)C#N,NC(=N)N(C#N)C#N,9,6
NC(=N)C=O,NC(=N)C=O,NC(=N)NC(=O)CC(=O)C=N,9,12
NCC(=O)O,[NH3+]CC([O-])=O,NC(=N)C(O)COC(O)=O,16,12
[NH][C@@H]1NC=CO1,N=C1NC=CO1,N=C1N=CN1CC=O,10,6
[NH][C@@H]1OC=CO1,N=C1OC=CO1,N=C1OC=C(O1)C=O1,10,6
NC(=N)NC=O,NC(=N)NC=O,NC(=N)NC(=O)NC=N1,10,7
CNCC(=O)O,C[NH2+]CC([O-])=O,NC(C[NH2+]CCC([O-])=O)C(O)=O,17,11
NC(=N)C(=O)C,CC(=O)C(N)=N,NC(=N)C(=O)C(C)C(N)=O,12,10
C[C@H](C(=O)O)N,CC([NH3+])C([O-])=O,CC([NH3+])C(C(O)C([O-])=O,19,6
[NH][C@H]1NC=NO1,N=C1NC=NO1,N=C1NN=C(O)=N1,10,6
[NH][C@@H]1NN=NN1,N=C1NN=NN1,N=C1NN=NNN1,10,1
[NH][C@@H]1ON=CO1,N=C1OC=NO1,N=C1ON=C(O1)N1C=O,10,9
[NH][C@@H]1ON=NO1,N=C1ON=NO1,N=C1NON=N1C=O,10,5
CC1=CN[C@@H](O1)[NH],CC1=CNC(=N)O1,CC1CN1C(=N)OC=C1=N,13,7
CC1=CO[C@@H](N1)[NH],CC1=COC(=N)N1,CC1CN1C(=N)OC=C1=N,13,9
CC1=CO[C@H](O1)[NH],CC1=COC(=N)O1,N=C1OC=C(O1)C=CO1,13,9
[NH][C@@H]1NC=C(O1)N,NC1=CNC(=N)O1,NC1=C(N)N=COC1=N,13,8
[NH][C@@H]1OC=C(O1)N,NC1=COC(=N)O1,N=C1NC(=O)OC(=N)O1,13,6
[NH][C@H]1NC=C(O1)O,OC1=CNC(=N)O1,N=C1NC(=O)OC=C1CO,13,10
[NH][C@H]1NC(=CO1)O,OC1=COC(=N)N1,N=C1NC(=O)OC=C1CO,13,12
[NH][C@H]1OC(=CO1)O,OC1=COC(=N)O1,N=C1OC(=O)OC=C1O,13,9
[NH]C1=CCOC=N1,N=C1C=COC=N1,N=C1N=C=CN1C=CO,12,6
[NH]C1=NCNC=N1,N=C1N=CNC=N1,N=C1NN=CNC=C1=N,12,4
[NH][C@@H]1N=COC=N1,N=C1N=COC=N1,N=C1N=CNC(=O)=N1,12,5
[NH]C1=NC=NCN1,N=C1NC=NC=N1,N=C1NN=CNC=C1=N,12,5
CN1C=CO[C@@H]1[NH],CN1C=COC1=N,N=C1NC=C(CC1)O1,11,9
OC(=O)C(N)(C)C,CC(C)([NH3+])C([O-])=O,CC(C)(C)([NH3+])(C)(C)([O-])=O,22,8
NC(=N)NC(=O)C,CC(=O)NC(N)=N,NC(=N)C(=O)C(N)C(N)=N,13,8
[CH2]C(=[NH2])N.O=C=O,NC(=[NH2+])CC([O-])=O,NC(=[NH2+])C(C([O-])=O)C=O,21,5
C[C@H](CC(=O)O)N,CC([NH3+])CC([O-])=O,CC(C)C([NH3+])C([O-])=O,20,5
CN(CC(=O)O)C,C[NH+](C)CC([O-])=O,CC(C)([NH3+])CC([O-])=O,19,8
NC=NCC(=O)O,[O-]C(=O)CNC=[NH2+],NC(=N)NC(=O)CCOC=O,19,15
NC=NCC(=O)O,NC=[NH+]CC([O-])=O,NC(=N)NC(=O)CCOC=O,18,12
NCC#CC(=O)O,[NH3+]CC#CC([O-])=O,NC(C#C)([NH2+])C#CCC([O-])=O,19,11
CCNCC(=O)O,CC[NH2+]CC([O-])=O,C[NH2+]CCC(CO)C([O-])=O,18,7
CNCCC(=O)O,C[NH2+]CCC([O-])=O,C[NH2+]CCC(CO)C([O-])=O,18,5
NCCCC(=O)O,[NH3+]CCCC([O-])=O,C[NH2+]CCC(CO)C([O-])=O,18,6
NC(=N)C(=O)C#C,NC(=N)C(=O)C#C,NC(=N)C(=O)C(C#N)C#C,14,6
NC(=N)C(=O)C#N,NC(=N)C(=O)C#N,NC(=N)C(=O)C(N)C#N)C#N,14,8
NC(=N)C(=O)C=O,NC(=N)C(=O)C=O,NC(=N)C(=O)C(=O)C(N)C=O,14,9
NC(=N)[C@H](C#N)O,NC(=N)C(O)C#N,NC(=N)C(=O)C#N,13,1
N[C@H](C(=O)O)C#C,[NH3+]C(C#C)C([O-])=O,CC([NH3+])C(C#C)C([O-])=O,21,4
CN(C(=N)N)C=O,CN(C=O)C(N)=N,NC(=N)C(=O)C(N)C(N)=N,13,9
CCC(=O)C(=N)N,CCC(=O)C(N)=N,CCC(N)(C(=O)C(N)=N)CC(N)=O,13,13
COC(=O)C(=N)N,COC(=O)C(N)=N,NC(=N)C(=O)C(N)C(O)C=O,13,11
NC(=N)C(=O)CO,NC(=N)C(=O)CO,NC(=N)C(=O)C(N)C(O)C=O,13,9
CC[C@H](C(=O)O)N,CCC([NH3+])C([O-])=O,CC(C)C([NH3+])C([O-])=O,20,3
C[C@@H](C(=O)O)NC,C[NH2+]C(C)C([O-])=O,CC([NH3+])C(C)C([O-])=O,20,4
OC[C@@H](C(=O)O)N,[NH3+]C(CO)C([O-])=O,[NH3+]C(CO)C(O)C([O-])=O,20,4
N[C@H](C(=O)O)CN,NC(C[NH3+])C([O-])=O,CC(N)C([NH3+])C([O-])=O,20,4
NC[C@H](C(=O)O)O,[NH3+]CC(O)C([O-])=O,CC([NH3+])C(O)C([O-])=O,20,4
OC(=O)C1(N)CC1,[NH3+]C1(CC1)C([O-])=O,NC1(C([NH3+])C1)C([O-])=O,22,10
OC(=O)C[C@H]1CN1,[O-]C(=O)CC1C[NH2+]1,NC1C([NH2+]C1C1C([O-])=O,20,18
OC(=O)[C@H]1CCN1,[O-]C(=O)C1CC[NH2+]1,NC1C([NH2+]C1C1C([O-])=O,20,18
OC(=O)C1CNC1,[O-]C(=O)C1C[NH2+]C1,NC1(C[NH2+]C1)C([O-])=OC1,20,18
N[C@H]1C[C@H]1C(=O)O,[NH3+]C1CC1C([O-])=O,[NH3+]C1CC1C([O-])=O,20,0
CC1=NO[C@@H](O1)[NH],CC1=NOC(=N)O1,N=C1NC(=O)OC(=N)O1,13,7
CN1C=NO[C@@H]1[NH],CN1C=NOC1=N,N=C1NN=C(CC1)=O,11,10
CN1[C@H]([NH])OC=N1,CN1N=COC1=N,N=C1NC(=N)N=CO1,11,11
CN1N=NN[C@H]1[NH],CN1N=NNC1=N,N=C1NN=NNC1=N,11,4
CN1N=NO[C@@H]1[NH],CN1N=NOC1=N,N=C1NN=NOC1=N,11,4
[NH]C1=NCNN=C1,N=C1C=NNC=N1,N=C1NN=CNC=C1=N,12,6
[NH][C][N]C=O.N#N,N=C1N=CON=N1,N=C1N=NON=N1,12,1
[NH]C1NCCNN1,N=C1NN=CC=N1,N=C1NN=CN1C=N,12,3
[NH][C@@H]1ON=C(N1)N,NC1=NOC(=N)N1,NC1=NNC(=N)N1C(=N)O,13,7
[NH][C@H]1ON=C(O1)N,NC1=NOC(=N)O1,N=C1NC(=N)O1C(=N)O,13,7
NCc1nnn[nH]1,[NH3+]CC1=N[N-]N=N1,N=C1NN=NNC2=C1,19,12
[O][C][CH]C=O.N#N,O=C1C=CON=N1,N=C1ON=C=CO1,12,7
O=CN=C=O.N#N,O=C1N=CON=N1,N=C1N=NOC(=O)N=NO1,12,7
[NH][C@@H]1NC(=NN1)O,OC1=NNC(=N)N1,NC1=NNC(=N)N1C(=N)O,13,7
[NH][C@@H]1OC(=NO1)O,OC1=NOC(=N)O1,N=C1ON=C(O1)C(=N)O1,13,8
CNC[C](C=O)N[O],C[NH2+]CC(C=O)=N[O-],CCC1=C(O)N=NOC1=N,20,15
NC(=N)C(F)(F)F,NC(=N)C(F)(F)F,NC(=N)C(F)(F)(F)(N)(C)(F)(F)(F)(F))(F,14,23
[NH][C@@H]1OCC=C(N1)[NH],N=C1NC(=N)C=CO1,CN1C=C(=N)NC1=O,15,8
[NH][C@H]1OC=N[C@@H](N1)[NH],N=C1NC(=N)N=CO1,N=C1NC(=N)N=CO1,15,0
C[C@@H]1NC=NC(=N1)[NH],CC1=NC(=N)N=CN1,CN1N=CNC(=N)C1=N,15,7
CC1=N[C@@H](N=CO1)[NH],CC1=NC(=N)N=CO1,N=C1N=C(C=N1)C(O)=C,15,12
N[C@H]1OC=CC(=N1)[NH],NC1=NC(=N)C=CO1,N=C1N=C(C=N1)C(O)=CN1,15,9
N[C@H]1N=CN=C(N1)[NH],NC1=[NH+]C(=N)N=C[N-]1,N=C1NN=C(N)N=C1,22,11
N[C@H]1OC=NC(=N1)[NH],NC1=NC(=N)N=CO1,N=C1N=NC(C=O)N1,15,7
[NH]C1=N[C@H](NC=C1)O,OC1=NC(=N)C=CN1,N=C1N=C(C=N1)C(O)=CN1,15,9
OC1=NC(=CCO1)[NH],OC1=NC(=N)C=CO1,N=C1N=C(OC=N1)C=O,15,9
[NH]C1=N[C@@H](O)NC=N1,OC1=NC(=N)N=CN1,N=C1N=NC(C=O)N1,15,8
[NH][C@@H]1N=C(O)OC=N1,OC1=NC(=N)N=CO1,N=C1N=C(O)N=CO1,15,6
C[C@@H]1N=C([NH])NC=N1,CC1=NC(=N)NC=N1,CN1N=CNC(=N)C1=N,15,6
[NH]C1=NC(=NCN1)O,OC1=NC(=N)NC=N1,NC1=NC(=N)N=C(O)N1,15,5
[NH]C1=CCN=C(O1)C,CC1=NC=CC(=N)O1,N=C1N=C(C=C=O1)C=C1,15,12
C[C@H]1N=CN=C(N1)[NH],CC1=NC=NC(=N)N1,N=C1N=CNC(C)=N1,15,8
C[C@@H]1N=CN=C(O1)[NH],CC1=NC=NC(=N)O1,N=C1N=C(C=N1)C(O)=C,15,11
[NH]C1=CCN=C(N1)O,OC1=NC=CC(=N)N1,N=C1N=C(C=N1)C=O,15,10
[NH]C1=CCN=C(O1)O,OC1=NC=CC(=N)O1,N=C1N=C(OC=N1)C=O,15,11
O=C=[N]=C[N]C(=O)O,OC1=NC=NC(=O)O1,N=C1ON=C2=C(O1)C=O,15,11
[NH][C@H]1OC(=C(N1)C)C,CC1=C(C)OC(=N)N1,CC1CC(=N)NC(=C)O1,16,6
[NH][C@@H]1OC(=C(O1)C)C,CC1=C(C)OC(=N)O1,CC1C([NH3+])C1C([O-])=O,16,15
[NH][C@@H]1NC(=C(O1)N)C,CC1=C(N)OC(=N)N1,CC1=NC(=N)NC(O)=C1,16,7
[NH][C@@H]1OC(=C(O1)C)N,CC1=C(N)OC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,16,16
[NH][C@@H]1NC(=C(O1)C)O,CC1=C(O)NC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,16,17
[NH][C@@H]1OC(=C(O1)C)O,CC1=C(O)OC(=N)O1,[NH3+]C1(CC1O)C([O-])=O,16,16
[NH][C@@H]1OC(=C(N1)N)N,NC1=C(N)OC(=N)N1,NC1=NC(=N)NC(O)=N1,16,6
[NH][C@@H]1OC(=C(O1)N)N,NC1=C(N)OC(=N)O1,NC1=C(N)OC(=N)N1,16,1
[NH][C@@H]1NC(=C(O1)O)N,NC1=C(O)OC(=N)N1,NC1=C(N)OC(=N)N1,16,1
[NH][C@@H]1OC(=C(O1)N)O,NC1=C(O)OC(=N)O1,NC1=C(O)OC(=N)O1,16,0
CC1=CN([C@H](O1)[NH])C,CN1C=C(C)OC1=N,CC1CC(=N)NC(=C)O1,14,10
NC1=CN([C@@H](O1)[NH])C,CN1C=C(N)OC1=N,CC1=NC(=N)NC(O)=C1,14,10
CN1C=C(O[C@H]1[NH])O,CN1C=C(O)OC1=N,N=C1NC(C=O)C1CO,14,9
[NH]C1=CC=C(CO1)N,NC1=COC(=N)C=C1,N=C1N=C(C=C=O1)C=C1,15,7
[NH]C1=CN=C(CN1)O,OC1=CNC(=N)C=N1,N=C1N=C(C=N1)C=O,15,8
CN1CN=C(N=C1)[NH],CN1C=NC(=N)N=C1,NC1=NC(=N)N=CNC1=C,15,7
[NH][C@H]1NC(=CO1)C#C,N=C1NC(=CO1)C#C,N=C1NC(=CO1)C#C,15,0
[NH][C@@H]1NC=C(O1)C#C,N=C1NC=C(O1)C#C,N=C1NC(=C#C)O1C,15,6
[NH][C@@H]1NC=C(O1)C#N,N=C1NC=C(O1)C#N,N=C1NC(=N1)C#C,15,5
[NH][C@@H]1OC(=CO1)C#C,N=C1OC=C(O1)C#C,N=C1OC=C(O1)C#C,15,0
[NH][C@@H]1OC(=CO1)C#N,N=C1OC=C(O1)C#N,N=C1ON=C(O1)C#C,15,2
[NH][C@@H]1NC=C(O1)C=O,N=C1NC=C(O1)C=O,N=C1N=C(O1)C=CO,15,2
[NH][C@@H]1OC(=CO1)C=O,N=C1OC=C(O1)C=O,N=C1OC=C(O1)C=O,15,0
